userid,date,Age,Gender,Marital,STATE,Education,Income
70112702,202012,60,1,2,TX,Some College,Under 50k
70112724,202012,40,1,2,KS,College,Under 50k
70112728,202012,63,2,2,AZ,Some College,50k to 100k
70112730,202012,52,2,1,CO,High School,Under 50k
70112732,202001,63,2,1,WA,Some College,Under 50k
70112736,202001,50,2,1,NY,College,Under 50k
70112743,202002,39,1,1,CA,College,Over 100k
70112744,202001,57,1,1,CA,Some College,50k to 100k
70112745,202001,74,1,2,LA,College,50k to 100k
70112747,202002,37,1,1,NM,High School,50k to 100k
70112751,202001,51,1,2,FL,College,Under 50k
70112756,202002,52,1,2,CA,College,Over 100k
70112764,202001,43,2,1,MI,Some College,50k to 100k
70112777,202001,28,1,1,MO,Some College,50k to 100k
70112781,202001,50,2,2,NH,College,Over 100k
70112782,202002,78,2,1,NY,Some College,Over 100k
70112783,202001,72,2,2,IL,Some College,Under 50k
70112784,202002,69,1,2,PA,College,Under 50k
70112785,202001,62,2,2,MI,Some College,Under 50k
70112788,202001,30,1,2,MI,College,50k to 100k
70112791,202002,59,1,1,CA,High School,Over 100k
70112792,202001,61,2,1,OH,Some College,50k to 100k
70112794,202001,69,1,1,NC,College,50k to 100k
70112798,202002,34,2,1,WV,College,Under 50k
70112800,202001,19,1,2,NM,High School,Under 50k
70112803,202001,53,2,1,CO,College,50k to 100k
70112805,202001,58,2,1,PA,College,50k to 100k
70112806,202001,43,1,1,NY,College,Under 50k
70112807,202001,42,1,2,VA,College,Over 100k
70112810,202002,33,2,1,OH,College,Over 100k
70112816,202001,63,1,2,MI,Some College,Under 50k
70112819,202001,76,1,1,MT,Some College,Over 100k
70112822,202001,50,2,1,TX,Some College,50k to 100k
70112827,202001,52,1,2,CA,Some College,50k to 100k
70112831,202001,29,1,1,VA,Some College,50k to 100k
70112835,202001,24,1,2,WA,College,Under 50k
70112836,202001,66,1,2,FL,Some College,Over 100k
70112839,202001,67,2,2,MN,College,Under 50k
70112846,202001,30,1,1,KS,College,50k to 100k
70112848,202001,71,2,1,MD,College,Under 50k
70112851,202001,63,1,2,GA,High School,Under 50k
70112852,202001,31,2,2,ID,Some College,Under 50k
70112854,202002,32,1,1,IL,College,Over 100k
70112856,202001,67,1,1,HI,High School,50k to 100k
70112859,202002,62,2,1,KY,Some College,Over 100k
70112860,202001,75,1,2,NC,Some College,Under 50k
70112861,202001,37,2,1,WI,College,Over 100k
70112865,202002,51,2,1,NY,College,50k to 100k
70112872,202001,81,1,2,CA,College,50k to 100k
70112874,202001,84,2,2,AZ,College,Under 50k
70112875,202001,47,1,2,MO,Some College,50k to 100k
70112880,202002,78,2,1,CA,College,Over 100k
70112886,202001,31,1,1,IL,Some College,50k to 100k
70112909,202001,59,1,2,KY,High School,Under 50k
70112915,202002,75,1,2,VA,Some College,50k to 100k
70112920,202001,80,2,1,MD,Some College,Over 100k
70112921,202002,54,1,2,IN,Some College,Under 50k
70112923,202001,71,1,2,GA,Some College,Under 50k
70112924,202001,75,1,1,AL,High School,50k to 100k
70112930,202001,40,2,2,CA,College,Over 100k
70112932,202001,71,2,1,IL,Some College,50k to 100k
70112933,202002,64,1,2,CO,College,Under 50k
70112934,202001,58,2,2,MA,Some College,Under 50k
70112935,202002,44,2,2,FL,Some College,50k to 100k
70112942,202002,44,2,1,MI,Some College,50k to 100k
70112943,202001,60,2,2,NC,High School,50k to 100k
70112949,202001,37,2,1,AZ,College,50k to 100k
70112956,202001,62,1,2,NY,Some College,Under 50k
70112959,202001,57,1,2,NC,Some College,Under 50k
70112971,202001,49,2,1,DE,Some College,Over 100k
70112973,202001,53,1,2,PA,College,Over 100k
70112980,202001,62,1,2,CA,Some College,50k to 100k
70112986,202001,42,1,1,CO,College,50k to 100k
70112991,202001,88,1,2,PA,High School,50k to 100k
70112992,202001,47,1,1,MI,College,Over 100k
70112993,202002,59,2,1,IN,High School,50k to 100k
70112997,202002,78,2,1,TX,College,Over 100k
70113001,202001,42,1,2,MD,College,50k to 100k
70113002,202001,41,2,1,LA,College,Over 100k
70113004,202001,42,1,2,IL,Some College,Under 50k
70113009,202001,66,2,1,NC,College,50k to 100k
70113010,202002,75,2,1,FL,High School,50k to 100k
70113012,202001,49,2,1,FL,High School,50k to 100k
70113014,202001,56,2,2,FL,High School,Under 50k
70113019,202001,31,1,1,AR,High School,Under 50k
70113020,202002,37,2,1,OK,College,50k to 100k
70113023,202001,63,1,1,NJ,High School,50k to 100k
70113026,202001,49,2,1,NJ,College,50k to 100k
70113027,202002,72,2,1,KS,College,Under 50k
70113037,202001,45,2,1,CO,College,Over 100k
70113038,202001,44,1,1,OH,College,Over 100k
70113048,202002,71,2,1,SD,College,50k to 100k
70113052,202002,78,1,1,NC,Some College,Under 50k
70113053,202001,29,2,1,KY,College,50k to 100k
70113059,202001,30,2,1,IL,Some College,Over 100k
70113069,202002,42,2,1,MT,College,Over 100k
70113073,202001,33,2,2,CT,College,50k to 100k
70113075,202001,53,1,1,WI,Some College,Over 100k
70113080,202001,76,2,1,IN,Some College,Under 50k
70113081,202001,56,1,2,MA,Some College,50k to 100k
70113083,202001,50,2,1,WI,College,Over 100k
70113085,202001,70,1,2,KS,Some College,Under 50k
70113097,202001,35,1,2,LA,College,50k to 100k
70113099,202002,83,2,1,FL,Some College,50k to 100k
70113106,202001,29,2,1,WA,Some College,Under 50k
70113107,202001,46,1,1,PA,College,Over 100k
70113110,202001,60,1,1,OR,High School,Under 50k
70113111,202002,37,1,2,NC,College,50k to 100k
70113112,202001,41,2,1,FL,College,Over 100k
70113120,202001,32,2,1,TX,College,50k to 100k
70113128,202001,58,1,1,TN,College,Over 100k
70113137,202001,29,2,2,NY,College,50k to 100k
70113146,202001,78,1,2,NY,Some College,Under 50k
70113147,202001,26,2,2,IN,College,50k to 100k
70113151,202002,55,1,2,CA,College,50k to 100k
70113153,202001,28,1,1,MN,College,Under 50k
70113155,202002,18,2,2,TX,High School,Over 100k
70113162,202002,31,1,2,OH,Some College,Under 50k
70113166,202001,49,1,1,NJ,College,Under 50k
70113167,202001,21,1,1,PA,High School,Under 50k
70113175,202001,34,1,1,SD,College,50k to 100k
70113178,202001,64,2,2,VA,Some College,Under 50k
70113180,202001,28,1,1,MN,Some College,50k to 100k
70113182,202001,54,2,2,IN,College,Under 50k
70113186,202001,36,1,1,ID,Some College,Over 100k
70113187,202001,66,1,2,PA,High School,Under 50k
70113199,202002,60,2,1,AL,Some College,Over 100k
70113204,202001,35,1,2,NM,College,Under 50k
70113208,202001,56,2,1,TN,College,50k to 100k
70113209,202001,53,1,1,WV,Some College,50k to 100k
70113211,202001,38,1,1,VA,College,50k to 100k
70113214,202001,73,2,1,CA,College,Over 100k
70113216,202002,58,2,1,FL,College,Over 100k
70113221,202001,39,2,2,CA,Some College,50k to 100k
70113235,202001,65,2,1,AZ,College,Over 100k
70113238,202001,32,2,1,IA,Some College,50k to 100k
70113239,202001,33,2,1,WV,College,50k to 100k
70113242,202001,57,2,1,VA,College,50k to 100k
70113244,202001,23,2,2,VA,College,50k to 100k
70113248,202001,72,1,2,ME,Some College,Under 50k
70113252,202001,45,2,2,WV,High School,Under 50k
70113258,202001,45,1,1,PA,Some College,Over 100k
70113263,202001,29,1,1,NC,College,50k to 100k
70113264,202001,69,1,1,NY,Some College,Over 100k
70113271,202001,61,1,2,SC,College,Under 50k
70113281,202001,41,1,2,WI,College,50k to 100k
70113284,202001,66,1,1,OR,College,50k to 100k
70113286,202002,68,1,2,TX,Some College,Under 50k
70113305,202001,65,1,1,FL,Some College,50k to 100k
70113307,202001,54,1,2,MO,College,Under 50k
70113318,202002,49,2,1,NC,Some College,50k to 100k
70113327,202002,72,1,2,MI,Some College,Under 50k
70113331,202002,41,1,1,KS,Some College,50k to 100k
70113332,202002,59,1,1,TX,Some College,50k to 100k
70113339,202002,39,1,2,MI,College,50k to 100k
70113341,202002,53,2,2,LA,College,Under 50k
70113344,202002,69,1,1,CA,Some College,Over 100k
70113345,202003,72,2,1,OR,Some College,50k to 100k
70113346,202002,57,1,1,KS,College,Over 100k
70113348,202003,48,2,1,NY,College,Over 100k
70113354,202003,66,1,1,OK,College,Under 50k
70113372,202002,33,1,1,PA,College,Over 100k
70113375,202002,47,2,1,WI,College,50k to 100k
70113376,202002,52,1,2,TN,High School,Under 50k
70113381,202002,55,2,1,WA,College,Over 100k
70113384,202002,61,2,1,CA,College,Over 100k
70113392,202002,37,1,2,IL,Some College,50k to 100k
70113394,202002,60,1,1,PA,College,Over 100k
70113407,202002,66,1,2,MI,Some College,50k to 100k
70113415,202002,58,1,2,CA,Some College,Under 50k
70113416,202002,32,1,1,VA,Some College,50k to 100k
70113421,202002,74,2,1,CA,College,50k to 100k
70113426,202002,64,2,2,CA,College,50k to 100k
70113427,202002,65,1,1,VA,College,Over 100k
70113432,202002,60,1,1,TX,College,Over 100k
70113435,202002,41,1,2,WI,College,50k to 100k
70113441,202002,74,1,2,UT,College,Under 50k
70113442,202002,57,2,1,TX,College,Over 100k
70113451,202002,36,1,1,KS,College,Over 100k
70113452,202002,59,1,1,FL,College,50k to 100k
70113458,202002,70,2,1,SC,Some College,Under 50k
70113468,202002,43,2,2,CA,Some College,50k to 100k
70113479,202002,50,1,1,TX,High School,Under 50k
70113480,202002,63,1,2,NJ,Some College,50k to 100k
70113483,202002,41,1,1,MD,Some College,Under 50k
70113485,202003,64,1,1,SC,College,Over 100k
70113489,202002,37,1,1,FL,College,50k to 100k
70113490,202002,53,2,1,LA,Some College,Over 100k
70113497,202002,57,2,1,NV,Some College,Under 50k
70113498,202002,64,1,1,FL,Some College,Under 50k
70113499,202002,44,1,1,TN,College,Over 100k
70113500,202002,43,2,1,PA,College,Over 100k
70113501,202002,68,1,2,TX,High School,Under 50k
70113505,202003,45,2,1,NE,Some College,Over 100k
70113507,202003,77,2,1,CA,College,Under 50k
70113515,202002,58,2,2,FL,Some College,Under 50k
70113521,202002,66,2,1,VT,Some College,Under 50k
70113524,202002,83,1,2,KS,High School,Under 50k
70113526,202002,44,1,1,PA,Some College,50k to 100k
70113528,202003,46,2,1,OH,College,Over 100k
70113530,202002,55,1,2,WA,Some College,Under 50k
70113542,202002,40,2,2,PA,High School,Over 100k
70113545,202002,65,1,2,CA,College,Under 50k
70113546,202002,37,2,1,AZ,College,Over 100k
70113550,202002,47,2,1,VA,College,Over 100k
70113562,202002,77,2,1,NH,College,50k to 100k
70113568,202002,37,1,1,CA,College,Over 100k
70113570,202002,54,1,2,TX,High School,50k to 100k
70113572,202002,33,1,1,WA,Some College,Under 50k
70113581,202002,53,1,1,NY,High School,Under 50k
70113583,202002,50,2,1,GA,Some College,Over 100k
70113585,202002,29,1,1,GA,College,Over 100k
70113591,202003,56,2,1,CA,Some College,50k to 100k
70113595,202002,33,1,2,AZ,College,Over 100k
70113603,202002,78,2,1,IA,College,50k to 100k
70113605,202002,52,2,2,PA,College,Over 100k
70113606,202002,50,2,1,TX,Some College,Over 100k
70113608,202002,49,1,1,WV,College,Over 100k
70113609,202002,27,2,1,LA,College,50k to 100k
70113611,202002,46,1,1,OH,College,50k to 100k
70113612,202002,51,1,1,AR,College,50k to 100k
70113613,202003,34,2,1,IA,College,Over 100k
70113629,202003,36,1,1,RI,Some College,50k to 100k
70113632,202002,35,1,1,AL,Some College,50k to 100k
70113637,202003,60,1,1,NY,Some College,Over 100k
70113640,202002,36,1,1,MO,College,Under 50k
70113642,202002,25,2,1,IN,College,Over 100k
70113645,202003,38,2,1,OR,High School,50k to 100k
70113647,202002,45,1,2,OH,Some College,Under 50k
70113651,202002,40,2,1,IL,College,Over 100k
70113653,202002,74,2,1,OK,College,50k to 100k
70113672,202002,33,2,1,NJ,College,Over 100k
70113674,202002,53,1,1,MI,Some College,Over 100k
70113675,202002,34,2,1,CO,College,50k to 100k
70113676,202002,38,1,2,VA,College,50k to 100k
70113679,202002,65,2,1,RI,Some College,Under 50k
70113684,202002,52,2,1,OH,Some College,Under 50k
70113686,202003,34,2,1,MO,College,Over 100k
70113688,202002,58,2,1,MO,College,Over 100k
70113689,202003,33,1,2,GA,College,50k to 100k
70113694,202002,56,2,2,FL,High School,50k to 100k
70113696,202002,78,2,1,FL,High School,50k to 100k
70113698,202002,76,2,1,MA,High School,50k to 100k
70113703,202002,32,2,2,IN,Some College,Under 50k
70113707,202003,55,1,1,OH,High School,Over 100k
70113708,202002,39,2,2,FL,High School,Under 50k
70113713,202002,64,1,2,AZ,Some College,Under 50k
70113724,202002,65,1,1,OH,Some College,Under 50k
70113726,202003,40,2,2,TN,College,Under 50k
70113734,202003,68,2,1,PA,Some College,Over 100k
70113738,202002,37,2,1,GA,College,Over 100k
70113743,202003,64,2,1,PA,College,Over 100k
70113745,202002,64,1,2,CO,College,Under 50k
70113746,202002,49,1,2,MO,College,Under 50k
70113752,202002,32,2,2,WA,Some College,Under 50k
70113755,202003,50,2,1,VA,College,Over 100k
70113757,202002,26,1,1,PA,Some College,Over 100k
70113763,202002,49,2,1,FL,College,50k to 100k
70113767,202002,62,2,2,OH,Some College,Under 50k
70113772,202003,64,1,2,AZ,College,Under 50k
70113776,202002,45,1,1,TN,Some College,50k to 100k
70113778,202002,78,2,2,NC,Some College,Under 50k
70113779,202003,65,2,1,FL,Some College,50k to 100k
70113781,202003,43,2,1,CA,College,Over 100k
70113788,202002,51,2,1,LA,College,50k to 100k
70113791,202002,50,1,2,CT,College,50k to 100k
70113793,202002,54,1,1,TX,College,50k to 100k
70113813,202002,26,2,2,CA,Some College,Under 50k
70113815,202002,85,2,2,OK,Some College,Under 50k
70113824,202002,46,2,1,CA,Some College,Under 50k
70113825,202002,29,2,1,TX,College,50k to 100k
70113829,202002,30,1,1,IN,College,50k to 100k
70113833,202002,53,1,2,CT,Some College,Under 50k
70113838,202002,48,1,1,IL,College,50k to 100k
70113843,202002,26,1,2,VA,Some College,Under 50k
70113846,202002,31,2,1,CA,Some College,Over 100k
70113848,202003,75,2,2,SD,Some College,Under 50k
70113852,202002,60,2,2,NY,High School,Under 50k
70113856,202002,63,1,2,MI,Some College,Under 50k
70113859,202002,18,1,2,NC,High School,Over 100k
70113861,202003,64,1,1,IN,Some College,Under 50k
70113881,202002,58,1,2,CO,High School,Under 50k
70113884,202002,67,1,2,TX,College,50k to 100k
70113888,202002,28,2,2,NC,College,50k to 100k
70113899,202002,37,1,1,NY,College,Under 50k
70113908,202002,59,2,1,AL,Some College,50k to 100k
70113913,202002,32,1,2,CA,Some College,Under 50k
70113914,202002,46,2,2,WI,College,Over 100k
70113917,202002,23,1,2,NJ,College,Over 100k
70113920,202002,62,1,2,FL,College,50k to 100k
70113922,202002,42,2,1,GA,High School,Under 50k
70113932,202002,27,1,1,OH,College,Over 100k
70113941,202002,30,2,2,IL,College,50k to 100k
70113948,202002,59,2,2,FL,High School,Under 50k
70113949,202002,33,1,1,MO,Some College,Under 50k
70113955,202002,50,1,1,CA,College,Over 100k
70113957,202002,66,1,1,AZ,High School,50k to 100k
70113960,202002,26,1,2,NC,Some College,50k to 100k
70113961,202002,48,1,2,NY,College,50k to 100k
70113965,202002,30,1,1,VA,College,Over 100k
70113966,202002,70,1,2,TX,Some College,Under 50k
70113998,202002,30,1,1,PA,College,50k to 100k
70114000,202002,40,2,1,NJ,College,50k to 100k
70114001,202002,49,1,1,MN,Some College,50k to 100k
70114012,202002,35,1,1,MA,College,Over 100k
70114016,202002,41,2,2,TN,College,50k to 100k
70114026,202003,33,1,1,NC,College,50k to 100k
70114028,202003,37,1,1,WA,College,Over 100k
70114030,202003,45,1,1,MI,Some College,50k to 100k
70114034,202003,58,2,2,MI,College,Over 100k
70114035,202003,64,2,1,IN,Some College,Over 100k
70114039,202003,56,1,1,IL,Some College,50k to 100k
70114040,202003,75,1,1,CA,Some College,50k to 100k
70114043,202003,29,1,2,MD,Some College,Under 50k
70114047,202004,75,1,1,VA,College,50k to 100k
70114050,202003,71,2,1,TX,Some College,Over 100k
70114054,202003,43,1,1,NC,College,Under 50k
70114055,202003,60,1,1,CO,Some College,50k to 100k
70114058,202003,62,1,1,WI,Some College,50k to 100k
70114059,202003,28,2,1,MO,College,50k to 100k
70114060,202003,37,1,1,AR,Some College,50k to 100k
70114062,202003,43,1,1,IL,Some College,50k to 100k
70114065,202003,49,1,1,CA,College,Over 100k
70114069,202003,75,1,2,CO,College,50k to 100k
70114072,202003,54,2,1,GA,Some College,50k to 100k
70114073,202003,40,2,1,IN,Some College,50k to 100k
70114075,202003,63,1,2,FL,Some College,Over 100k
70114076,202004,78,2,1,IL,College,50k to 100k
70114077,202003,54,1,1,TN,High School,Under 50k
70114084,202003,28,1,2,CA,Some College,Under 50k
70114085,202003,68,1,2,SC,College,50k to 100k
70114090,202003,34,1,1,MI,College,Over 100k
70114093,202003,52,1,1,NJ,College,Over 100k
70114099,202003,37,2,1,CA,College,Over 100k
70114102,202003,59,1,2,ID,Some College,Under 50k
70114103,202003,71,1,2,MI,High School,Under 50k
70114105,202003,26,2,1,SD,Some College,50k to 100k
70114106,202003,30,1,2,GA,High School,50k to 100k
70114111,202003,40,1,1,MD,College,50k to 100k
70114116,202003,40,2,1,FL,Some College,50k to 100k
70114120,202003,27,1,1,OH,College,50k to 100k
70114122,202003,51,2,2,SD,Some College,Under 50k
70114127,202003,72,1,2,AL,Some College,Under 50k
70114136,202003,34,2,2,FL,College,Under 50k
70114150,202003,25,2,1,UT,College,Under 50k
70114152,202003,66,2,2,NY,College,Over 100k
70114155,202003,53,2,1,WI,College,Over 100k
70114157,202003,33,1,1,NE,College,Over 100k
70114161,202003,30,1,1,TX,College,Over 100k
70114162,202004,63,2,1,WY,High School,Over 100k
70114164,202004,51,2,1,MO,College,Over 100k
70114168,202003,37,1,1,DC,College,Over 100k
70114169,202003,26,1,1,IA,College,50k to 100k
70114174,202003,49,1,1,UT,Some College,Over 100k
70114178,202003,37,2,1,KS,College,Over 100k
70114183,202003,42,2,2,NJ,Some College,Under 50k
70114185,202003,46,2,1,NY,Some College,50k to 100k
70114186,202003,31,1,1,NY,College,50k to 100k
70114193,202003,81,1,2,MI,Some College,Under 50k
70114197,202003,30,2,1,MO,College,50k to 100k
70114199,202003,29,2,1,CA,College,Over 100k
70114205,202003,69,2,2,KY,College,Over 100k
70114206,202004,70,2,1,NC,College,Under 50k
70114213,202003,43,1,1,FL,College,50k to 100k
70114214,202003,42,2,1,TX,College,50k to 100k
70114215,202003,65,1,2,FL,College,Under 50k
70114216,202003,44,2,1,NV,College,Over 100k
70114219,202003,64,1,1,WV,High School,50k to 100k
70114220,202004,34,1,1,NM,College,Under 50k
70114223,202003,34,1,1,IA,Some College,50k to 100k
70114225,202003,51,1,1,WA,Some College,Over 100k
70114227,202003,24,1,1,AR,Some College,50k to 100k
70114233,202003,30,1,1,WI,College,50k to 100k
70114234,202003,46,2,1,TN,College,50k to 100k
70114240,202003,63,2,1,NM,College,50k to 100k
70114245,202003,68,1,2,WA,College,Under 50k
70114247,202003,67,2,1,NM,College,50k to 100k
70114255,202004,35,1,2,OH,College,Over 100k
70114257,202004,42,1,1,OH,College,Over 100k
70114258,202004,64,1,1,CO,Some College,Under 50k
70114265,202004,35,2,1,WI,College,50k to 100k
70114270,202003,75,2,2,VA,College,Under 50k
70114272,202003,60,2,1,MO,College,Over 100k
70114274,202003,46,2,1,TX,Some College,Over 100k
70114275,202003,58,1,2,ME,High School,Under 50k
70114279,202003,53,2,1,MA,High School,Under 50k
70114281,202003,29,2,1,WI,College,Over 100k
70114286,202003,38,2,1,FL,College,50k to 100k
70114287,202003,45,1,1,PA,High School,50k to 100k
70114289,202003,66,1,1,AR,High School,Under 50k
70114291,202003,43,1,2,IL,Some College,Under 50k
70114299,202003,42,2,2,OH,College,Under 50k
70114303,202003,46,1,2,MO,High School,Under 50k
70114308,202003,63,2,1,FL,Some College,50k to 100k
70114310,202003,67,1,1,NY,College,50k to 100k
70114314,202003,64,2,1,OK,High School,Under 50k
70114315,202003,50,1,2,AZ,Some College,Under 50k
70114319,202003,61,1,2,OH,High School,Under 50k
70114320,202003,45,1,2,MA,College,50k to 100k
70114322,202003,36,2,2,NJ,College,50k to 100k
70114324,202003,70,1,1,CA,High School,Under 50k
70114325,202003,59,2,1,CA,Some College,50k to 100k
70114327,202003,58,2,2,CA,College,Over 100k
70114330,202003,51,2,2,TX,High School,Under 50k
70114331,202003,41,2,2,CA,Some College,Over 100k
70114336,202003,65,1,2,NJ,College,Over 100k
70114341,202003,69,2,1,MI,College,Under 50k
70114342,202003,63,1,2,MN,Some College,Under 50k
70114344,202004,54,2,1,NY,College,Over 100k
70114349,202004,52,1,1,SC,Some College,Over 100k
70114351,202003,56,1,1,AZ,College,50k to 100k
70114352,202003,31,1,1,OH,College,Over 100k
70114354,202003,70,1,1,FL,Some College,50k to 100k
70114359,202003,47,1,2,TX,High School,50k to 100k
70114361,202003,46,2,2,CO,College,50k to 100k
70114362,202003,62,1,2,NY,College,Under 50k
70114365,202003,65,2,1,VA,High School,50k to 100k
70114367,202003,60,1,1,TX,Some College,50k to 100k
70114369,202003,65,2,2,MI,College,Under 50k
70114371,202003,33,1,2,CA,College,50k to 100k
70114374,202003,57,1,1,MA,College,50k to 100k
70114375,202003,48,1,1,AL,Some College,Under 50k
70114385,202003,43,1,1,CA,Some College,Under 50k
70114386,202003,26,1,1,NE,Some College,50k to 100k
70114389,202003,70,2,1,NJ,High School,50k to 100k
70114391,202003,67,2,1,FL,College,Over 100k
70114392,202004,33,2,1,MI,College,Over 100k
70114408,202003,28,1,1,NC,Some College,50k to 100k
70114414,202003,48,2,2,AL,Some College,50k to 100k
70114415,202003,25,1,2,SC,Some College,Under 50k
70114417,202003,57,1,2,WA,High School,Under 50k
70114420,202003,45,1,1,OR,High School,Under 50k
70114421,202003,64,2,1,NY,College,Over 100k
70114423,202003,62,1,1,AL,Some College,Over 100k
70114430,202004,66,1,2,MO,High School,Under 50k
70114434,202003,54,2,1,IL,College,Over 100k
70114458,202003,41,1,1,TX,High School,50k to 100k
70114459,202003,47,2,1,AZ,College,Over 100k
70114462,202003,67,1,2,FL,Some College,Under 50k
70114466,202003,30,2,1,FL,College,50k to 100k
70114468,202003,28,2,1,NC,College,Under 50k
70114476,202003,28,1,2,NC,College,50k to 100k
70114488,202003,33,2,2,PA,Some College,Over 100k
70114500,202003,29,2,2,WI,College,50k to 100k
70114503,202003,36,1,1,FL,Some College,Under 50k
70114514,202003,59,1,2,MD,Some College,Under 50k
70114519,202003,30,1,1,FL,College,50k to 100k
70114533,202003,50,1,1,IN,High School,Under 50k
70114535,202003,57,2,1,CO,College,Over 100k
70114537,202003,28,1,1,TX,College,50k to 100k
70114548,202003,35,2,2,AL,College,50k to 100k
70114555,202003,35,2,1,CA,Some College,50k to 100k
70114559,202003,68,1,2,FL,High School,50k to 100k
70114565,202003,54,2,1,LA,College,Under 50k
70114574,202003,51,2,1,VA,College,Over 100k
70114575,202003,33,1,2,OH,College,Over 100k
70114577,202003,28,1,2,MA,College,50k to 100k
70114580,202003,85,1,2,TX,Some College,Under 50k
70114590,202003,38,1,2,VA,College,50k to 100k
70114593,202003,58,2,1,WI,Some College,50k to 100k
70114607,202003,59,2,1,PA,Some College,50k to 100k
70114619,202003,47,1,1,TX,College,Over 100k
70114635,202003,32,2,1,NV,College,50k to 100k
70114641,202005,53,1,1,NY,Some College,50k to 100k
70114643,202005,32,1,1,CA,College,50k to 100k
70114667,202005,46,2,1,AL,College,50k to 100k
70114686,202005,66,1,1,FL,College,Over 100k
70114695,202004,53,1,2,AR,College,Under 50k
70114702,202005,70,2,2,NY,College,Under 50k
70114703,202004,60,1,1,HI,Some College,50k to 100k
